,Adj Close
0,1360.4000244140625
1,1353.800048828125
2,1371.9000244140625
3,1394.8499755859375
4,1383.699951171875
5,1368.0
6,1403.3499755859375
7,1428.3499755859375
8,1483.5999755859375
9,1495.5
10,1524.5999755859375
11,1513.0999755859375
12,1508.0999755859375
13,1521.25
14,1504.449951171875
15,1545.199951171875
16,1524.5999755859375
17,1566.300048828125
18,1559.0
19,1566.300048828125
20,1575.199951171875
21,1572.75
22,1569.1500244140625
23,1597.0
24,1586.550048828125
25,1595.050048828125
26,1589.449951171875
27,1570.3499755859375
28,1579.75
29,1597.9000244140625
30,1601.1500244140625
31,1603.699951171875
32,1615.4000244140625
33,1615.199951171875
34,1576.5
35,1534.9000244140625
36,1520.1500244140625
37,1532.6500244140625
38,1540.800048828125
39,1561.300048828125
40,1539.5999755859375
41,1547.949951171875
42,1520.550048828125
43,1531.050048828125
44,1548.0999755859375
45,1554.3499755859375
46,1672.3499755859375
47,1804.25
48,1766.949951171875
49,1752.4000244140625
50,1770.699951171875
51,1776.25
52,1763.699951171875
53,1764.699951171875
54,1749.25
55,1724.75
56,1722.5999755859375
57,1773.1500244140625
58,1778.449951171875
59,1790.0
60,1797.6500244140625
61,1802.5
62,1765.699951171875
63,1812.949951171875
64,1816.5999755859375
