,Adj Close
0,3377.75
1,3412.25
2,3448.800048828125
3,3461.550048828125
4,3466.35009765625
5,3322.050048828125
6,3248.550048828125
7,3275.449951171875
8,3171.60009765625
9,3046.39990234375
10,3265.85009765625
11,3252.199951171875
12,3250.10009765625
13,3250.89990234375
14,3221.60009765625
15,3239.60009765625
16,3160.75
17,3268.39990234375
18,3265.949951171875
19,3335.949951171875
20,3418.050048828125
21,3222.39990234375
22,3288.85009765625
23,3337.75
24,3327.64990234375
25,3294.699951171875
26,3260.800048828125
27,3117.800048828125
28,3175.35009765625
29,3323.35009765625
30,3357.60009765625
31,3326.449951171875
32,3299.449951171875
33,3331.60009765625
34,3260.35009765625
35,3250.050048828125
36,3291.39990234375
37,3371.449951171875
38,3436.85009765625
39,3417.300048828125
40,3382.800048828125
41,3425.949951171875
42,3418.35009765625
43,3365.64990234375
44,3415.050048828125
45,3362.85009765625
46,3705.60009765625
47,4027.85009765625
48,3962.25
49,3932.85009765625
50,4000.800048828125
51,4065.35009765625
52,4050.14990234375
53,3992.800048828125
54,3960.10009765625
55,3902.85009765625
56,3904.800048828125
57,4025.35009765625
58,3948.449951171875
59,3975.699951171875
60,3881.64990234375
61,3880.300048828125
62,4018.75
63,4105.2001953125
64,4138.0498046875
