,Adj Close
0,727.0999755859375
1,779.4500122070312
2,784.9500122070312
3,794.2999877929688
4,793.1500244140625
5,785.5999755859375
6,785.1500244140625
7,789.9000244140625
8,786.0499877929688
9,795.0499877929688
10,787.2999877929688
11,791.5499877929688
12,792.7999877929688
13,794.0
14,769.0499877929688
15,775.4000244140625
16,776.75
17,774.6500244140625
18,776.1500244140625
19,789.0999755859375
20,790.1500244140625
21,764.0999755859375
22,774.9000244140625
23,774.5499877929688
24,777.7999877929688
25,792.9000244140625
26,799.5499877929688
27,795.9000244140625
28,801.9000244140625
29,802.9000244140625
30,785.0
31,802.0999755859375
32,806.8499755859375
33,814.5999755859375
34,814.2999877929688
35,821.0499877929688
36,834.2000122070312
37,840.1500244140625
38,829.2000122070312
39,820.0999755859375
40,816.3499755859375
41,829.1500244140625
42,827.4500122070312
43,831.0499877929688
44,829.8499755859375
45,821.0
46,805.0999755859375
47,765.0999755859375
48,794.0499877929688
49,792.2000122070312
50,782.0499877929688
51,782.3499755859375
52,805.2999877929688
53,793.5499877929688
54,785.5
55,793.25
56,789.5499877929688
57,784.0
58,782.9000244140625
59,815.7000122070312
60,785.6500244140625
61,767.7999877929688
62,771.4500122070312
63,769.0999755859375
64,767.75
