,Adj Close
0,623.2081298828125
1,623.1588134765625
2,614.3319702148438
3,609.4500122070312
4,597.4000244140625
5,571.2999877929688
6,564.9000244140625
7,559.0999755859375
8,550.0
9,547.5499877929688
10,564.4500122070312
11,553.1500244140625
12,548.75
13,550.0
14,548.5499877929688
15,556.4500122070312
16,545.4500122070312
17,549.4500122070312
18,518.2999877929688
19,539.5499877929688
20,545.5499877929688
21,512.4000244140625
22,523.5499877929688
23,527.8499755859375
24,520.5499877929688
25,527.7999877929688
26,520.9000244140625
27,511.79998779296875
28,533.25
29,544.2999877929688
30,554.0499877929688
31,539.7000122070312
32,528.0
33,528.7999877929688
34,515.4500122070312
35,505.70001220703125
36,517.0
37,529.5
38,532.5499877929688
39,545.75
40,543.5999755859375
41,551.25
42,536.9500122070312
43,521.9500122070312
44,527.0
45,519.2999877929688
46,568.9000244140625
47,565.0
48,558.75
49,534.7000122070312
50,566.9500122070312
51,555.0999755859375
52,547.1500244140625
53,556.7000122070312
54,562.7000122070312
55,564.25
56,552.9500122070312
57,576.5499877929688
58,566.0499877929688
59,560.0999755859375
60,568.6500244140625
61,583.4000244140625
62,584.25
63,593.2999877929688
64,593.2999877929688
