,Adj Close
0,5889.76220703125
1,5996.078125
2,6074.73095703125
3,5990.60498046875
4,5802.82470703125
5,5689.50634765625
6,5830.63671875
7,5794.4912109375
8,5687.23828125
9,5681.07421875
10,5725.65185546875
11,5481.55810546875
12,5431.55615234375
13,5396.84033203125
14,5497.38720703125
15,5614.05908203125
16,5590.537109375
17,5751.4912109375
18,5699.27001953125
19,5821.46533203125
20,6017.2333984375
21,5732.9501953125
22,5815.5498046875
23,5975.14990234375
24,5974.9501953125
25,6198.75
26,6222.9501953125
27,6206.9501953125
28,6255.14990234375
29,6253.5498046875
30,6276.7001953125
31,6094.89990234375
32,6111.75
33,6121.60009765625
34,6049.75
35,5829.75
36,5970.2998046875
37,6185.85009765625
38,6333.5
39,6598.35009765625
40,6391.7998046875
41,6449.7998046875
42,6412.2998046875
43,6130.64990234375
44,6093.5498046875
45,5938.2998046875
46,6585.25
47,6899.2001953125
48,7009.64990234375
49,6641.5
50,6860.10009765625
51,6773.14990234375
52,6717.2998046875
53,6783.75
54,6752.25
55,6649.2001953125
56,6631.0498046875
57,6721.10009765625
58,6610.14990234375
59,6700.14990234375
60,6819.5498046875
61,6987.7001953125
62,6976.85009765625
63,7123.10009765625
64,7318.14990234375
