,Adj Close
0,11649.5263671875
1,11462.19140625
2,11685.9560546875
3,11672.681640625
4,11574.2724609375
5,11524.5693359375
6,11282.740234375
7,11448.517578125
8,11457.6005859375
9,11472.6708984375
10,11600.6220703125
11,11597.6279296875
12,11514.08984375
13,11653.2197265625
14,11524.5693359375
15,11389.3330078125
16,11690.0478515625
17,11814.505859375
18,11754.6220703125
19,11817.2001953125
20,11993.2998046875
21,11893.5
22,12036.5
23,12004.400390625
24,12066.599609375
25,11969.7998046875
26,12594.099609375
27,12470.0
28,12438.7001953125
29,12391.2998046875
30,12472.2998046875
31,12517.400390625
32,12716.7998046875
33,12875.2001953125
34,12691.0
35,12480.7998046875
36,12612.2001953125
37,12614.0
38,12836.2998046875
39,12759.0
40,12556.900390625
41,12689.2998046875
42,12841.0
43,12764.2001953125
44,12869.0
45,12694.900390625
46,13499.400390625
47,13713.2001953125
48,13430.7001953125
49,13458.5
50,13934.599609375
51,13740.900390625
52,13889.7001953125
53,13681.5
54,13709.7998046875
55,13441.0
56,13603.2998046875
57,13858.2998046875
58,13819.7998046875
59,14032.400390625
60,14169.0
61,14086.7998046875
62,14351.5
63,14516.7998046875
64,14835.5
