,Adj Close
0,1273.4478759765625
1,1269.0721435546875
2,1285.8790283203125
3,1274.7904052734375
4,1254.900634765625
5,1242.121337890625
6,1273.4478759765625
7,1266.5362548828125
8,1252.165771484375
9,1224.7177734375
10,1207.1153564453125
11,1204.2808837890625
12,1174.396484375
13,1159.8271484375
14,1173.75
15,1184.3499755859375
16,1143.3499755859375
17,1128.300048828125
18,1109.4000244140625
19,1152.3499755859375
20,1162.0999755859375
21,1274.75
22,1288.25
23,1278.0
24,1292.5999755859375
25,1275.949951171875
26,1270.949951171875
27,1246.75
28,1275.8499755859375
29,1266.800048828125
30,1274.8499755859375
31,1263.300048828125
32,1241.75
33,1248.550048828125
34,1206.4000244140625
35,1201.1500244140625
36,1198.5999755859375
37,1222.5
38,1222.199951171875
39,1234.4000244140625
40,1210.3499755859375
41,1225.5999755859375
42,1210.75
43,1197.449951171875
44,1205.699951171875
45,1179.050048828125
46,1254.3499755859375
47,1239.199951171875
48,1278.699951171875
49,1279.550048828125
50,1296.800048828125
51,1309.050048828125
52,1332.25
53,1304.9000244140625
54,1311.050048828125
55,1308.0999755859375
56,1310.0999755859375
57,1324.75
58,1362.75
59,1352.5999755859375
60,1358.0
61,1364.1500244140625
62,1372.3499755859375
63,1396.5
64,1416.3499755859375
