,Adj Close
0,259.0
1,259.8500061035156
2,260.04998779296875
3,259.70001220703125
4,269.1499938964844
5,264.75
6,264.70001220703125
7,264.6000061035156
8,264.0
9,262.45001220703125
10,263.6000061035156
11,262.3999938964844
12,262.20001220703125
13,265.3500061035156
14,270.5
15,263.70001220703125
16,262.1000061035156
17,259.0
18,262.5
19,265.8999938964844
20,263.79998779296875
21,258.5
22,251.14999389648438
23,249.3000030517578
24,252.25
25,253.35000610351562
26,252.60000610351562
27,252.0
28,251.35000610351562
29,249.10000610351562
30,250.14999389648438
31,249.1999969482422
32,249.0
33,254.35000610351562
34,253.6999969482422
35,256.1000061035156
36,255.5500030517578
37,251.9499969482422
38,255.60000610351562
39,248.14999389648438
40,244.5500030517578
41,245.39999389648438
42,246.89999389648438
43,244.1999969482422
44,244.1999969482422
45,241.5
46,245.75
47,240.0
48,240.60000610351562
49,238.8000030517578
50,237.25
51,236.4499969482422
52,239.8000030517578
53,233.5500030517578
54,236.0500030517578
55,237.6999969482422
56,237.14999389648438
57,237.6999969482422
58,239.14999389648438
59,239.35000610351562
60,243.35000610351562
61,243.6999969482422
62,248.85000610351562
63,248.0500030517578
64,248.8000030517578
