company,abbreviation
Reliance Industries Limited ,RELIANCE.NS
Tata Consultancy Services Limited,TCS.NS
HDFC Bank Limited,HDFCBANK.NS
Hindustan Unilever Limited,HINDUNILVR.NS
Infosys Limited,INFY.BO
Kotak Mahindra Bank Limited,KOTAKBANK.BO
ICICI Bank Limited,ICICIBANK.BO
State Bank of India,SBIN.BO
Bajaj Finance Limited,BAJFINANCE.BO
Maruti Suzuki India Limited,MARUTI.BO
Axis Bank Limited,AXISBANK.BO
Bharti Airtel Limited,BHARTIARTL.NS
Oil and Natural Gas Corporation Limited,ONGC.NS
Asian Paints Limited,ASIANPAINT.BO
Larsen & Toubro Infotech Limited,LTI.NS
Nestle India Limited,NESTLEIND.NS
Wipro Limited,WIPRO.BO
UltraTech Cement Limited,ULTRACEMCO.BO
Mahindra & Mahindra Limited,M&M.NS
