,Prediction,Stock,company
0,1417.636,RELIANCE.NS,Reliance Industries Limited 
1,2057.035,TCS.NS,Tata Consultancy Services Limited
2,1228.326,HDFCBANK.NS,HDFC Bank Limited
3,2104.324,HINDUNILVR.NS,Hindustan Unilever Limited
4,774.866,INFY.BO,Infosys Limited
5,1610.25,KOTAKBANK.BO,Kotak Mahindra Bank Limited
6,433.638,ICICIBANK.BO,ICICI Bank Limited
7,269.814,SBIN.BO,State Bank of India
8,4136.0,BAJFINANCE.BO,Bajaj Finance Limited
9,7298.252,MARUTI.BO,Maruti Suzuki India Limited
10,703.491,AXISBANK.BO,Axis Bank Limited
11,377.902,BHARTIARTL.NS,Bharti Airtel Limited
12,144.115,ONGC.NS,Oil and Natural Gas Corporation Limited
13,1815.377,ASIANPAINT.BO,Asian Paints Limited
14,1595.501,LTI.NS,Larsen & Toubro Infotech Limited
15,14827.865,NESTLEIND.NS,Nestle India Limited
16,248.695,WIPRO.BO,Wipro Limited
17,4277.721,ULTRACEMCO.BO,UltraTech Cement Limited
18,587.141,M&M.NS,Mahindra & Mahindra Limited
